Hawaii Ocean Time-series : 29-Apr-2024 01:18:44
https://hahana.soest.hawaii.edu/hot/hot-dogs/bextraction.html

botid, date, time, press, hplc, 
#, mmddyy, hhmmss, dbar, ng/l, 
0540200406, 061894, 202004,  160.3, 169.0,
0540200405, 061894, 201825,  175.1, 101.0,
0540200404, 061894, 201621,  201.4,  31.0,
0540200403, 061894, 200858,  522.7,   0.0,
0540200402, 061894, 200309,  748.9,   0.0,
0550201312, 072694, 121000,    5.2,  84.0,
0550201311, 072694, 120824,   24.9,  85.0,
0550201310, 072694, 120645,   43.6, 124.0,
0550201309, 072694, 120516,   74.6, 128.0,
0550201308, 072694, 120326,  100.6, 211.0,
0550201307, 072694, 120156,  109.9, 192.0,
0550201306, 072694, 120028,  123.8, 144.0,
0550201305, 072694, 115806,  150.5,  71.0,
0550201304, 072694, 115602,  173.7,  20.0,
