Hawaii Ocean Time-series : 12-Sep-2023 23:47:19
https://hahana.soest.hawaii.edu/hot/hot-dogs/bextraction.html

botid, date, time, press, pbact, 
#, mmddyy, hhmmss, dbar, #*1e5/ml, 
2380200817, 122011, 121014,   24.9,  2.143,
2380200814, 122011, 120834,   44.8,  2.207,
2380200811, 122011, 120614,   73.8,  1.664,
2380200808, 122011, 120424,   99.4,  0.728,
2380200806, 122011, 120250,  124.0,  0.125,
2380200804, 122011, 120124,  149.8,  0.077,
2380200803, 122011, 115959,  174.1,  0.024,
2390200222, 011812, 133111,    5.6,  1.639,
2390200219, 011812, 132921,   25.8,  1.734,
2390200216, 011812, 132742,   44.4,  1.742,
2390200213, 011812, 132538,   75.7,  1.548,
2390200210, 011812, 132334,  100.2,  1.194,
2390200207, 011812, 132103,  127.5,  0.418,
2390200206, 011812, 131904,  151.8,  0.098,
2390200205, 011812, 131652,  175.2,  0.046,
2410200120, 050112, 121104,    5.7,  1.798,
2410200117, 050112, 120934,   23.9,  2.040,
2410200114, 050112, 120809,   46.1,  2.050,
2410200111, 050112, 120629,   78.2,  2.445,
2410200108, 050112, 120448,  101.1,  1.815,
2410200105, 050112, 120324,  125.5,  0.410,
2410200104, 050112, 120219,  148.8,  0.275,
2410200103, 050112, 120104,  172.8,  0.197,
2420200120, 053012, 123757,    4.5,  1.283,
2420200117, 053012, 123627,   24.4,  1.297,
2420200114, 053012, 123506,   45.6,  1.987,
2420200111, 053012, 123342,   73.8,  2.131,
2420200108, 053012, 123213,  100.9,  1.616,
2420200105, 053012, 123042,  123.9,  1.652,
2420200104, 053012, 122932,  148.9,  0.603,
2420200103, 053012, 122812,  177.2,  0.151,
2430200122, 062612, 131416,    5.0,  1.719,
2430200118, 062612, 131138,   24.8,  1.706,
2430200115, 062612, 130928,   45.4,  1.642,
2430200112, 062612, 130718,   75.1,  2.272,
2430200109, 062612, 130517,   99.5,  1.322,
2430200106, 062612, 130308,  125.2,  0.412,
2430200105, 062612, 130128,  149.6,  0.177,
2430200104, 062612, 125955,  174.7,  0.111,
2440200220, 073112, 131117,    6.7,  2.240,
2440200217, 073112, 130906,   24.4,  2.224,
2440200214, 073112, 130716,   45.4,  2.630,
2440200211, 073112, 130505,   75.7,  2.620,
2440200208, 073112, 130305,  100.3,  1.533,
2440200205, 073112, 130105,  124.6,  0.448,
2440200204, 073112, 125915,  150.3,  0.157,
2440200203, 073112, 125701,  175.8,  0.051,
2450200120, 081712, 125930,    5.2,  2.281,
2450200117, 081712, 125736,   24.7,  2.393,
2450200114, 081712, 125559,   45.4,  2.341,
2450200111, 081712, 125406,   75.3,  2.634,
2450200108, 081712, 125223,  100.3,  1.397,
2450200105, 081712, 125032,  126.3,  0.703,
2450200104, 081712, 124820,  150.4,  0.230,
2450200103, 081712, 124653,  175.7,  0.078,
2460200122, 091412, 125236,    5.5,  1.530,
2460200119, 091412, 125001,   24.6,  1.307,
2460200116, 091412, 124819,   45.5,  1.779,
2460200113, 091412, 124632,   75.3,  1.898,
2460200110, 091412, 124440,  100.5,  1.119,
2460200107, 091412, 124243,  124.5,  0.581,
2460200104, 091412, 124031,  149.9,  0.255,
2460200103, 091412, 123906,  174.9,  0.155,
2470200119, 100712, 122551,    5.6,  1.593,
2470200116, 100712, 122341,   25.2,  1.745,
2470200113, 100712, 122151,   45.3,  1.958,
2470200110, 100712, 121941,   75.4,  2.081,
2470200107, 100712, 121741,  100.2,  1.512,
2470200104, 100712, 121551,  125.5,  0.482,
2470200103, 100712, 121421,  150.1,  0.177,
2470200102, 100712, 121251,  174.6,  0.055,
2480200120, 120312, 130123,    5.9,  2.340,
2480200117, 120312, 125824,   25.5,  2.364,
2480200114, 120312, 125624,   44.3,  2.333,
2480200111, 120312, 125356,   75.4,  2.180,
2480200108, 120312, 125134,  100.1,  1.098,
2480200105, 120312, 124836,  124.8,  0.368,
2480200104, 120312, 124624,  150.9,  0.027,
2480200103, 120312, 124445,  176.2,  0.006,
2490200120, 021213, 131056,    7.9,  2.246,
2490200117, 021213, 130811,   25.4,  2.219,
2490200114, 021213, 130608,   45.6,  2.304,
2490200111, 021213, 130352,   75.1,  2.357,
