Hawaii Ocean Time-series : 05-Sep-2023 03:23:28
https://hahana.soest.hawaii.edu/hot/hot-dogs/bextraction.html

botid, date, time, press, sil, 
#, mmddyy, hhmmss, dbar, umol/kg, 
3210200818, 080920, 065645,   34.4,   0.95,
3210200817, 080920, 065532,   45.3,   0.89,
3210200816, 080920, 065345,   59.9,   1.19,
3210200815, 080920, 065241,   74.2,   1.38,
3210200812, 080920, 064925,  101.2,   1.29,
3210200809, 080920, 064553,  125.5,   1.74,
3220200624, 090320, 165825,    5.7,   0.91,
3220200724, 090320, 222631,   40.5,   0.88,
3220200723, 090320, 222417,   62.7,   1.19,
3220200722, 090320, 222245,   72.1,   1.18,
3220200721, 090320, 221951,  122.9,   1.94,
3220200720, 090320, 221738,  137.7,   2.23,
3220201022, 090420, 072002,    5.0,   0.99,
3220201021, 090420, 071829,   14.7,   0.88,
3220201019, 090420, 071646,   24.9,   0.84,
3220201018, 090420, 071535,   33.7,   0.98,
3220201017, 090420, 071416,   44.4,   0.95,
3220201016, 090420, 071247,   59.6,   1.33,
3220201015, 090420, 071125,   74.5,   1.36,
3220201012, 090420, 070754,  101.1,   1.34,
3220201009, 090420, 070400,  124.9,   1.71,
3220201007, 090420, 070117,  149.2,   2.48,
3230200324, 092720, 170719,    4.2,   1.49,
3230200424, 092720, 222702,   65.1,   0.98,
3230200423, 092720, 222539,   80.0,   1.28,
3230200422, 092720, 222419,   87.3,   1.38,
3230200421, 092720, 222204,  115.5,   1.45,
3230200420, 092720, 221939,  138.3,   1.82,
3230200722, 092820, 070340,    4.7,   0.89,
3230200721, 092820, 070236,   14.3,   1.06,
3230200719, 092820, 070126,   24.0,   1.02,
3230200718, 092820, 070029,   35.1,   0.96,
3230200717, 092820, 065922,   44.1,   0.92,
3230200716, 092820, 065735,   59.9,   0.94,
3230200715, 092820, 065634,   75.0,   1.13,
3230200712, 092820, 065350,   99.9,   1.28,
3230200709, 092820, 065104,  124.3,   1.83,
3230200707, 092820, 064907,  149.5,   2.34,
3240200524, 111920, 222914,   81.1,   1.13,
3240200523, 111920, 222754,   91.1,   0.84,
3240200521, 111920, 222420,  138.1,   1.26,
3240200821, 112020, 072946,   14.6,   0.97,
3240200819, 112020, 072810,   24.5,   1.08,
3240200818, 112020, 072706,   33.8,   1.15,
3240200817, 112020, 072545,   44.7,   1.03,
3240200816, 112020, 072421,   60.1,   1.01,
3240200815, 112020, 072256,   74.9,   1.24,
3240200812, 112020, 071910,   99.1,   1.48,
3240200809, 112020, 071530,  128.4,   1.41,
3250200224, 121820, 183634,    4.8,   0.50,
3250200324, 121820, 221022,   89.8,   0.83,
3250200323, 121820, 220848,  124.7,   1.08,
3250200622, 121920, 071458,    4.8,   1.63,
3250200621, 121920, 071347,   13.6,   1.17,
3250200619, 121920, 071236,   23.2,   1.11,
3250200618, 121920, 071137,   34.3,   1.07,
3250200617, 121920, 071017,   46.3,   1.17,
3250200616, 121920, 070849,   60.4,   1.47,
3250200615, 121920, 070732,   73.3,   1.24,
3250200612, 121920, 070402,   97.7,   1.17,
3250200609, 121920, 070006,  125.4,   1.83,
3260200224, 011221, 184614,    5.7,   0.10,
3260200324, 011221, 221242,   30.5,   0.13,
3260200323, 011221, 221020,  107.5,   0.88,
3260200322, 011221, 220901,  134.6,   1.04,
3260200622, 011321, 070406,    4.9,   0.97,
3260200621, 011321, 070256,   13.9,   0.98,
3260200619, 011321, 070120,   24.8,   0.96,
3260200618, 011321, 065958,   33.4,   0.96,
3260200617, 011321, 065845,   44.0,   0.96,
3260200616, 011321, 065717,   59.3,   1.12,
3260200615, 011321, 065540,   75.3,   0.99,
3260200612, 011321, 065204,   99.7,   1.13,
3260200609, 011321, 064839,  123.6,   1.61,
3270200224, 021621, 183236,    3.4,   1.35,
3270200324, 021621, 221212,   43.2,   1.47,
