Hawaii Ocean Time-series : 05-Sep-2023 22:50:56
https://hahana.soest.hawaii.edu/hot/hot-dogs/bextraction.html

botid, date, time, press, don, 
#, mmddyy, hhmmss, dbar, umol/kg, 
0430200712, -00009, -00009,  115.0,   5.14,
0430200711, -00009, -00009,  125.0,   5.37,
0430200710, -00009, -00009,  135.0,   4.41,
0430200709, -00009, -00009,  150.0,   4.56,
0440200412, 012093, 065339,  135.1,   5.60,
0440200411, 012093, 064858,  149.7,   4.55,
0440200512, 012093, 100604,    9.1,   5.19,
0440200511, 012093, 100428,   24.7,   5.06,
0440200510, 012093, 100321,   35.6,   5.66,
0440200509, 012093, 100211,   45.3,   5.31,
0440200507, 012093, 095907,   75.5,   5.36,
0440200506, 012093, 095814,   86.1,   5.62,
0440200505, 012093, 095707,   95.3,   5.49,
0440200504, 012093, 095551,  104.0,   5.81,
0440200502, 012093, 095354,  130.4,   5.80,
0450200621, 021793, 071005,    5.1,   4.82,
0450200618, 021793, 070703,   24.3,   4.83,
0450200617, 021793, 070557,   35.5,   5.80,
0450200616, 021793, 070450,   45.4,   5.34,
0450200615, 021793, 070319,   58.7,   5.31,
0450200614, 021793, 070157,   74.3,   5.33,
0450200613, 021793, 070040,   84.6,   5.49,
0450200612, 021793, 065942,   94.6,   5.03,
0450200611, 021793, 065829,  104.7,   4.95,
0450200610, 021793, 065657,  114.5,   5.03,
0450200609, 021793, 065354,  124.5,   4.83,
0450200608, 021793, 065233,  137.0,   5.21,
0460200323, 041493, 071322,    3.8,   6.35,
0460200322, 041493, 071130,   15.0,   6.48,
0460200320, 041493, 071013,   26.0,   5.78,
0460200319, 041493, 070922,   34.9,   5.92,
0460200318, 041493, 070831,   44.4,   5.63,
0460200317, 041493, 070738,   60.2,   6.01,
0460200316, 041493, 070643,   75.5,   6.00,
0460200315, 041493, 070547,   85.4,   5.45,
0460200314, 041493, 070452,   95.9,   5.01,
0460200313, 041493, 070356,  104.9,   4.81,
0460200312, 041493, 070245,  115.0,   4.48,
0460200311, 041493, 070154,  125.0,   5.23,
0460200310, 041493, 070057,  134.9,   4.91,
0460200417, 041493, 103826,  104.2,   5.22,
0460200416, 041493, 103653,  148.1,   5.10,
0470200924, 052193, 020723,    6.5,   5.69,
0470200922, 052193, 020536,   14.8,   6.38,
0470200920, 052193, 020352,   24.5,   6.95,
0470200919, 052193, 020232,   34.9,   7.13,
0470200918, 052193, 020124,   45.0,   6.46,
0470200917, 052193, 015956,   55.1,   6.70,
0470200916, 052193, 015822,   74.7,   6.05,
0470200915, 052193, 015715,   85.0,   6.32,
0470200914, 052193, 015611,   95.3,   5.65,
0470200913, 052193, 015432,  106.3,   7.14,
0470200912, 052193, 015321,  116.4,   6.34,
0470200911, 052193, 015212,  124.5,   5.73,
0470200910, 052193, 015057,  134.8,   5.95,
0490200723, 091493, 063900,    5.4,   5.83,
0490200722, 091493, 063652,   15.6,   6.15,
0490200721, 091493, 063459,   25.6,   5.98,
0490200720, 091493, 063257,   36.7,   6.21,
0490200719, 091493, 063103,   46.6,   6.11,
0490200717, 091493, 062724,   61.4,   6.15,
0490200716, 091493, 062523,   76.2,   5.81,
0490200715, 091493, 062336,   86.5,   5.80,
0490200714, 091493, 062137,   96.4,   5.61,
0490200713, 091493, 061950,  105.9,   5.31,
0490200712, 091493, 061805,  116.2,   5.17,
0490200710, 091493, 061437,  125.6,   4.95,
0490200708, 091493, 061111,  136.3,   5.08,
0500200623, 102993, 074530,    7.1,   5.01,
0500200622, 102993, 074421,   17.2,   5.66,
0500200620, 102993, 074255,   27.1,   6.45,
0500200619, 102993, 074117,   37.3,   5.51,
0500200618, 102993, 074000,   48.4,   5.73,
0500200617, 102993, 073831,   58.5,   6.21,
0500200616, 102993, 073558,   80.3,   5.39,
0500200615, 102993, 073442,   78.9,   5.87,
0500200614, 102993, 073318,   93.4,   5.21,
0500200613, 102993, 073200,  105.2,   5.01,
0500200612, 102993, 073009,  117.8,   5.75,
0500200610, 102993, 072754,  125.0,   4.99,
0500200608, 102993, 072512,  138.4,   4.79,
0500200607, 102993, 072336,  148.9,   4.48,
0510200422, 012094, 091215,    7.5,   5.04,
0510200421, 012094, 091156,   17.1,   5.36,
0510200419, 012094, 090954,   27.3,   5.79,
0510200418, 012094, 090940,   36.7,   5.38,
0510200416, 012094, 090726,   62.9,   5.82,
0510200415, 012094, 090613,   76.6,   5.87,
0510200414, 012094, 090504,   85.8,   5.23,
0510200413, 012094, 090409,   96.1,   5.62,
0510200412, 012094, 090312,  106.4,   5.29,
0510200411, 012094, 090218,  114.6,   5.19,
0510200410, 012094, 090118,  125.7,   4.98,
0510200409, 012094, 090023,  136.4,   5.00,
0520200517, 021794, 065711,    4.8,   7.23,
0520200516, 021794, 065604,   15.0,   5.99,
0520200515, 021794, 065455,   25.4,   6.56,
0520200514, 021794, 065351,   35.0,   6.55,
0520200513, 021794, 065249,   44.9,   6.45,
0520200512, 021794, 065129,   61.4,   5.87,
0520200511, 021794, 065000,   77.8,   6.89,
0520200510, 021794, 064852,   85.6,   5.79,
0520200509, 021794, 064752,   95.4,   7.09,
0520200508, 021794, 064651,  106.1,   6.10,
0520200507, 021794, 064545,  114.4,   5.55,
0520200506, 021794, 064445,  125.5,   5.52,
0520200505, 021794, 064343,  135.2,   5.32,
0530200621, 030994, 060838,    4.6,   5.31,
0530200620, 030994, 060708,   14.9,   5.35,
0530200618, 030994, 060546,   25.2,   5.68,
0530200617, 030994, 060448,   36.8,   7.21,
0530200616, 030994, 060347,   45.5,   5.41,
